Name,Effect
Rocky Payload_pte,"Scene x2 - Swift Action 
Effect: The next Rock Type Damaging Attack the user uses has its Range changed to 8, Ranged Blast 3, Smite; or has its area of effect increased by +2. If the Attack misses any Targets, you may create up to 3 Stone Hazards in unoccupied spaces within the Range of the Attack. At the end of the next Round, these Hazards explode, causing enemies within 2m to lose a Tick of Hit Points. 
Bonus: The user gains STAB on Rock Type Attacks if they're a Pokémon."
Root Down_pte,"At-Will - Movement Action
Keywords - Defensive
Connection - Ingrain. 
Effect: While the user has the Ingrain Coat, they may activate this Ability to gain Damage Reduction equal to their Tier Value until the end of the next Round. Damage Reduction gained this way does not stack with itself.  "
Rough Skin_pte,"Static
Effect: All Melee Damaging Attacks that hit the user are treated as having the Recoil (1/2) Keyword. "
Run Away_pte,"Static
Effect: The user cannot trigger Attacks of Opportunity by moving. The user cannot be Trapped. The user does not suffer any movement penalties when moving over Slowed Terrain."
Sacred Bell_pte,"Scene - Swift Action
Keywords - Defensive
Effect: Choose a type of Weather. The Weather becomes the chosen type. 
Bonus: The user resists Dark and Ghost Type Damage one step further. "
Sand Force_pte,"At-Will- Swift Action
Trigger - The user hits a Ground or Rock Type Attack
Effect: All Targets have their Defense or Special Defense lowered by -2 CS. 
Bonus: While the Weather is Sandstorm, the user’s Ground and Rock Type Attacks ignore Defensive Abilities. "
Sand Rush_pte,"Static
Effect: The user may perform Ground or Rock Type Attacks as if they had the Priority (Advanced) Keyword. While the Weather is Sandstorm, the user cannot trigger Enemy's Attacks of Opportunity and cannot be Slowed."
Sand Spit_pte,"Scene – Reaction
Keywords - Defensive
Trigger - An enemy within 2m would use an Attack against an Ally or the user
Connection – Sand Attack. 
Effect: Before the Attack's Resolution, the Triggering Enemy becomes Blinded until the end of their next Turn.  
Bonus: The user’s Ground Type Attacks have a 15+ Effect Range to cause the Target to lose -1 Accuracy.  "
Sand Stream_pte,"At-Will - Swift Action
Effect: The Weather becomes a Sandstorm. 
Bonus: While the Weather is Sandstorm, the user has a bonus to Save Checks equal to their Tier Level and has a Boon to all Skill Checks while in Combat. "
Sand Veil_pte,"Static
Keywords - Defensive
Effect: The user and allies within 2m have a bonus to Evasion equal to your Tier Level. While the Weather is Sandstorm, Enemies within 2m have a penalty to Accuracy equal to your Tier Level.  "
Schooling_pte,"Scene - Swift Action
Keywords - Innate
Effect: Create a 4x4 Zone with the user in one of the center 4 squares. Any other creatures within the Zone are then pushed to the nearest unoccupied space outside of the Blast. The user then changes to Schooling Form, centered on its current location, and gains Temporary Hit Points equal to half of its own maximum Hit Points. The user cannot gain Temporary Hit Points from other sources while in Schooling Forme. When the user is below half Maximum Hit Points and has no Temporary Hit Points left, they change back into Solo Forme. If the user would not be able to fit in the space around it at the end of this Ability, this Ability cannot be used.
Bonus: The user has two sets of base stats; Solo and Schooling. The Hit Points of both forms must be the same."
Scrappy_pte,"At-Will - Free Action
Trigger - The user hits a Melee Attack
Effect: The user gains +1 Blitz Counter. If the user uses a Respite Maneuver, Restores more than 2 Ticks of Hit Points or is Recalled, they lose all of their Blitz Counters. You cannot have more Blitz Counters than double your Tier Level. 
Bonus: The user gains +1 Accuracy and Critical Hit Range to Melee Attacks for each Blitz Counter they have. Ghost Types are not Immune to the user’s Normal and Fighting Type Attacks."
Screen Cleaner_pte,"Scene x2 - Swift Action
Target - The user or an Adjacent Combatant
Connection - Barrier. 
Effect: Choose a Coat that the Target is affected by and destroy it.  
Bonus: Whenever the user creates a Blessing with a Standard Action, it has one more Activation or lasts one more Round from its listed Duration."
Scorching Strikes,"Scene x2 - Free Action
Trigger - The user causes a single Enemy to become Burned
Effect: The Target must use a Swift Action in order to perform a Save Check at the end of their Turn and cannot restore Hit Points while Burned this way.
Bonus: The user has a bonus to Effect Ranges equal to Tier Level if a Target has +2 CS or more in any Stat or is Burned. "
Seasonal_pte,"Static
Effect: The user’s Ability changes based on the Season.

Spring: Aroma Veil
Summer: Flower Veil
Autumn: Sweet Veil
Winter: Thick Fat"
Sentry Units,"At-Will - Swift Action
Effect: The user creates a Sentry Token in an Adjacent unoccupied space. The user may perform Attacks of Opportunity as if they occupied all spaces their Sentry Tokens are in, ignoring range. The user may originate any Maneuver or Attack from a space that a Sentry Token is occupying. As a Movement Action, the user may slide any number of Sentry Tokens up to 3m each. A Sentry Token is destroyed when Targeted by a Damaging Attack"
Seed Sower_pte,"Scene x3 - Free Action
Keywords - Defensive
Trigger - The user is hit with an Attack
Connection - Grassy Terrain. 
Effect: Create a 3x3 Zone within 8m of the user. All spaces in the Zone are considered to be affected by the Grassy Terrain Attack. Only the user and Allies are affected by Grassy Terrain created this way. 
Bonus: While the user is on Grassy Terrain or the Field is Floral, they have a bonus to Save Checks equal to their Tier Level. "
Serene Grace_pte,"Static
Effect: The user has a bonus to Effect Ranges equal to their Tier Level. Whenever the user triggers an Effect Range, they gain a Tick of Temporary Hit Points."
Serpent's Mark,"Static
Effect: Arbok’s Abilities depend on the Arbok’s hood pattern. To determine its pattern, roll 1d6 upon evolution or upon generation.

1. Attack Pattern - Huge Power
2. Fear Pattern - Regal Challenge
3. Life Pattern - Regenerator
4. Speed Pattern - Accelerate
5. Stealth Pattern - Ambush
6. Toxic Pattern - Deadly Poison"
Shackle_pte,"Scene - Swift Action
Keywords - Defensive
Trigger - You hit an Enemy with Destiny Bond
Connection - Destiny Bond. 
Effect: The Marked Enemy becomes Suppressed and Trapped. 
Bonus: Your Ghost Type Attacks have a 15+ Effect Range to Trap all Legal Targets. This Effect Range does not apply to Enemies that are further than 3m away from you."
Shadow Shield_pte,"Scene - Reaction
Keywords - Defensive
Trigger - The user or an Ally within 2m is hit by a Damaging 1-Target Attack 
Effect: The Target of the Triggering Attack gains 3 Ticks of Temporary Hit Points. If the user is in Foggy Weather, you may choose to not expend the Frequency of Shadow Shield but it only Triggers against non-Adjacent Damaging Attacks."
Shadow Tag_pte,"At-Will - Swift Action
Target - An adjacent Trainer or Pokémon
Effect: The Target is considered to be Trapped as if it was Inflicted by their Shadow (Their current space). The Trapped Condition inflicted this way may be cured as a Swift+Movement Action."
Shed Skin_pte,"At-Will - Swift or Movement Action  
Effect: The user loses all Temporary Hit Points and loses a Tick of HIt Points, then if they lost Hit Points this way, they are cured of a Physical Affliction."
Sheer Force_pte,"Static
Effect: All of the user’s Damaging Attacks have their Effects Ranges replaced with the following text. “On a 17+, this Attack is one step more effective but cannot exceed 1.5x”. Effect Ranges Modifiers cannot apply to this Effect Range. Whenever the user hits a Damaging Attack that did not Trigger this Effect Range, they have a Damage Bonus equal to their Tier Value. "
Shell Armor_pte,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack
Effect: The user gains a Tick of Temporary Hit Points, however the user's next Damaging Attack has its damage reduced by their Tick value (Rounded Down)."
Shell Shield_pte,"Scene x2 - Free Action
Trigger - The user uses a "Self" Range Attack
Connection - WIthdraw. 
Effect: The user gains a Shelled Coat that can be expended as a Reaction upon being hit with a Physical Attack. That Attack is resisted by an additional step. 
Bonus: While the user has a Shelled or Withdrawn Coat, they have Damage Reduction equal to their Tier Value. 
"
Shields Down_pte,"Static
Keywords - Innate
Effect: While the user has more than 50% Hit Points, they remain in their Meteor Form. When they fall below 50% Hit Points, they change to their Core Form until the end of the Scene. While in their Meteor Form, they are Immune to Physical Afflictions. When the user enters Core Form, their Defense Combat Stages may switch with their Attack CS and their Special Defense CS may switch with their Special Attack CS."
Silk Threads_pte,"At-Will - Swift Action
Trigger - The user hits a Single Enemy with an Attack
Connection - String Shot. 
Effect: Choose an unoccupied Space within 3m of the Target to create a Silk Hazard. This Hazard has 1 HP but may be destroyed as a Swift Action by an Adjacent Enemy. While Hazard is not destroyed, the Target is Trapped by it. The Target however may ignore the Trapped Condition, moving more than 3m away from the Silk Hazard, but if they do, the Silk Hazard is destroyed then the Target becomes Slowed. 
Bonus: As a Movement Action, the user may create Slowed Terrain in a Close Blast 2 range. "
Simple_pte,"Static
Effect: The first time the user would gain CS through an Attack or Ability each Round, it is increased by +1. The first time the user would lose CS through an Attack or Ability each Round, they lose an additional -1 CS in that Stat. "
Sky Diver,"Scene x2 - Swift Action
Effect: The user’s next Damaging Attack has its Range changed to Burst 1, Burst 2 or Melee, Pass. Enemies cannot apply Physical or Special Evasion against this Attack.."
Slush Rush_pte,"Static
Effect: The user may perform Ice Type Attacks as if they had the Priority Keyword. While the Weather is Snowy, the user cannot trigger Attacks of Opportunity and cannot be Slowed."
Sniper_pte,"Scene - Movement Action + Reaction
Effect: The user’s next Ranged 1-Target Attack gains the Sureshot Keyword. If the user has no Combatants within 2m of them, the Frequency of this Ability is not expended.
Bonus: If the user Critically hits a Ranged 1-Target Attack, they gain a Damage Bonus equal to their Tier Value. 
"
Snow Cloak_pte,"Static
Keywords - Defensive
Effect: The user and allies within 2m have a bonus to Evasion equal to your Tier Level. While the Weather is Snowy or the user is in Tundra Terrain, they are Immune to Critical Hits, instead becoming normal hits.  "
