Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Terra Burst,Rock,Physical,Scene x2,"Burst 2, Full Action, Groundsource",6,7,"After Terra Burst is resolved, you may place 4 Stealth Rock Hazards on any unoccupied space within the range of this Attack. This effect can only occur once per Scene. Spirit Surge.

Stealth Rock Hazard - Spaces with Stealth Rock Hazards are treated as Rough Terrain. Any Enemy that would move through or move within 1m of this Hazard loses a Tick of Hit Points, then this Hazard is destroyed. If the Triggering Enemy would be Weak to Rock Type Attacks, they lose Two Ticks.",--,Tier 2
Terra Charge,Rock,Physical,At-Will,"Melee, 1 Target, Dash",2,4,"If the Dash Keyword is Activated, this Attack has the Smite Keyword. Slide 2 (Away).",--,Tier 1
Wide Guard,Rock,Status,Scene x2,"Burst 1, Shield, Trigger",,,"If an Ally adjacent to the user is hit by a Physical Attack, you may use Wide Guard as a Reaction. All Targets adjacent to Wide Guard’s user, may use the user's Defense when resolving Damage Calculations.",--,Tier 2
Anchor Shot,Steel,Physical,EOT,"Melee, 1 Target",3,8,The Target becomes Trapped. Spirit Surge,--,Tier 2
Alloy Beam,Steel,Special,At-Will,"4, 1 Target",3,4,The user may also use their Attack Stat as if it were the Offensive Stat when resolving this Attack.,--,Tier 1
Autotomize,Steel,Status,EOT,"Self, Swift Action",,,"Choose two Stats other than HP. One of the chosen Stats is lowered to +0 CS, then the other chosen Stat gains CS equal to the amount of CS lowered this way. The user’s Weight Class is lowered to 1 for the rest of the Scene.",--,Tier 1
Bullet Punch,Steel,Physical,At-Will,"Melee, 1 Target, Priority, Punch",2,4,--,--,Tier 1
Execution,Steel,Physical,Scene x2,"Melee, 1 Target",3,7,"If the Target’s Hit Points are under 50% or are Wounded, Execution is automatically a Critical Hit",--,Tier 2
Ferrous Flash,Steel,Special,Scene x2,"Close Blast 2, Full Action",6,12,Ferrous Flash lowers the Accuracy of all Targets by -1.,--,Tier 3
Flash Cannon,Steel,Special,EOT,"6, 1 Target, Set-Up",4,8,"Charge Effect: The user may use a Movement Action as well as a Swift Action to gain 2 Charge Tokens instead. 
Resolution Effect: This Attack may ignore the Set-Up Keyword if desired and be used without expending Charge Tokens. If you expend a Charge Token when using Flash Cannon, the Range becomes Line X, where X is the number of Charge Tokens expended multiplied by 3. Smite",--,Tier 2
Gear Grind,Steel,Physical,EOT,"Melee, 1 Target",4,5,Double Strike.,--,Tier 1
Gear Up,Steel,Status,Scene x2,"Self, Versatile",,,"The user may swap as many of their Stat Combat Stage Values as they wish. Then, any Stats with Negative CS are raised to its Default Value.",The user may swap the Combat Values of two different Stats.,Tier 2
Gigaton Strike,Steel,Physical,EOT,"Close Blast 3, Full Action, Reckless",7,14,"Until the end of the next Round, all Attacks against the user automatically hit and cannot be resisted by any means. Smite",--,Tier 3
Gyro Ball,Steel,Physical,Scene x2,"Melee, 1 Target, Dash",3,8,"If the Dash Keyword is Activated, this Attack ignores Speed Evasion.",--,Tier 2
Heavy Slam,Steel,Physical,EOT,"Melee, 1 Target ",3,4,"For each weight class the user is above the Target, increase Heavy Slam's Damage Base by +2.",--,Tier 2
Inertial Throw,Steel,Special,EOT,"6, 1 Target",3,6,The user may Slide the Target a number of Meters equal to 6 minus their Weight Class.,--,Tier 1
Iron Blade,Steel,Physical,EOT,"Melee, Pass, Dash",6,9,"Iron Blade is a Critical Hit on a roll of 18+, or a 16+ if the Dash Keyword is Activated.",--,Tier 2
Iron Coating,Steel,Status,Scene x2,"Melee, 1 Target or Self; Coat, Versatile",,,"The Target gains an Iron Coat. While a Combatant has an Iron Coat, they gain Damage Reduction equal to your Tick Value. Whenever the Target takes damage they reduce the DR gained this way -5 after Damage Calculations. The Coat is expended when the DR gained this way goes to 0 or lower.","Same as the normal Effects, but whenever the Target takes damage, the Iron Coat is expended.",Tier 2
Iron Defense,Steel,Status,EOT,"Self, Versatile",,,Raise the user's Defense by +2 CS and is cured of a Physical Affliction.,The user gains +1 CS in Defense. ,Tier 1
Iron Head,Steel,Physical,EOT,"Melee, 1 Target, Dash",3,8,"If the Dash Keyword is Activated, they cannot apply Physical Evasion against this Attack. Smite",--,Tier 2
Iron Jaw,Steel,Physical,EOT,"Melee, 1 Target, Bite",3,8,"The Target loses -2 CS in Defense. On a roll of 17+, the Target becomes Wounded. Spirit Surge.",--,Tier 2
Iron Spikes,Steel,Status,EOT,"6, Hazard, Swift Action",,,"Choose 8 Spaces within the Range of this Attack to create Spike Hazards in, such that all 8 Spaces are Adjacent to at least one other Spike Hazard. Enemies that Trigger Spike Hazards created this way also become Wounded.

Spike Hazards - Spaces with Spike Hazards are treated as Slow Terrain. Any Enemy that passes through a Spike Hazard loses One Tick of Hit Points and cannot gain Hit Points or Temporary Hit Points until the end of the next Round.",--,Tier 1
Iron Tail,Steel,Physical,Scene x2,"Melee, 1 Target, Dash",3,10,"If the Dash Keyword is Activated, the user may use their Defense as if it were the Offensive Stat for this Attack. If the user is Huge Sized, this Attack may also be used as if it were Close Blast 2. Smite",--,Tier 3
Kinetic Strike,Steel,Physical,Scene x2,"Melee, 1 Target",3,10,"Calculate the difference in Weight Class between the user and the Target. If the user is heavier by less than 3 WC, this has the Smite Keyword. If they're heavier by 3 or more WC, this has Sureshot and is a Critical Hit on 17+.",--,Tier 3
King's Shield,Steel,Status,Scene," Self, Shield, Trigger",,,"If the user is hit by an attack, the user may use King’s Shield as a Standard Action + Reaction. The user is instead not hit by the Attack. You do not take any damage nor are you affected by any of the Attack’s effects. In addition, if the triggering attack was Melee ranged, the attacker’s Attack is lowered by -2 CS.  ",--,Tier 3
Magnet Bomb,Steel,Special,EOT,"8, 1 Target",,6,Sureshot. *Grants Magnetic,--,Tier 1
Magnetic Grip,Steel,Special,Scene x2,"3, 1 Target",4,8,"The Target becomes Trapped. On a roll of 17+, the Target becomes Slowed. If the Target has the Magnetic Capability this Effect Range is automatically triggered.",--,Tier 2
Magnetic Pulse,Steel,Special,EOT,"8, 1 Target or Burst 1; Aura",5,7,All Steel Type Enemies within 3m of the Target become Slowed or Trapped. Spirit Surge. *Grants Magnetic,--,Tier 1
Magnetic Storm,Steel,Status,Scene x2,"Field, Versatile",,,"The Field becomes Magnetic for the next 5 Rounds. While the Field is Magnetic, non Steel Type Enemies lose a Tick of Hit Points at the start of their Turn and Steel Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Magnetic Surge,Steel,Status,Scene x2,"Blessing, Versatile",,,"Blessing - Any user affected by Magnetic Surge may activate it as a Free Action when using a Steel Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Magnetic Surge may be Activated 3 times and then disappears. ","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Make It Rain,Steel,Special,Scene,"7, Ranged Blast 5",7,7,"Upon Declaration of this Attack, roll 3d10. For each result that is 7 or above, apply the following. 
1+ - This has the Smite Keyword
2+ - This has the Friendly Keyword
3+ - This has the Sureshot Keyword",--,Tier 3
Metal Burst,Steel,Physical,Scene x2,"Burst 1,Trigger",,,Metal Burst can only be used as a Standard Action + Reaction when the user is hit by a Damaging Attack. The Damage Base of this Attack is equal to the Triggering Attack. The user may use their Defense as if it were the Offensive Stat for this Attack. Sureshot,--,Tier 2
Metal Claw,Steel,Physical,At-Will,"Melee, Pass",5,4,"On a Roll of 18+, the Target becomes Wounded. If the Pass Keyword wasn't Activated, this has the Smite Keyword.",--,Tier 1
Metal Sound,Steel,Status,EOT,"Burst 1, Sonic, Versatile",5,,"All Targets have their Special Defense lowered by -3 CS. When this Attack hits, all Targets also become Dazed. Friendly.","All Targets lose -2 CS in Special Defense. If this misses, they instead lose -1 CS. Friendly.",Tier 1
Metal Swipe,Steel,Physical,EOT,"Melee, 1 Target",3,6,"If the user's Weight Class is 3 or lower, Metal Swipe has the Priority and Pass Keyword. If the user's Weight Class is 4 or higher, Metal Swipe gains the Smite Keyword and may be used as if it were Close Blast 2. ",--,Tier 1
Metallurgy,Steel,Status,Scene x2,"Self, Coat, Versatile",,,"The user gains a Metallic Coat. While the user has a Metallic Coat, they gain a Temporary Tick of Hit Points at the end of each of their turns. The Metallic Coat can be expended as a Reaction when the user is hit by a Physical Attack to resist that attack two steps further.",The user gains a Metallic Coat. The Metallic Coat gained this way can be expended as a Free Action to resist a Physical Damaging Attack by an additional Damage Step.,Tier 2
Meteor Mash,Steel,Physical,EOT,"Melee, 1 Target, Full Action, Punch",4,9,The user gains +1 CS in Attack. Spirit Surge,--,Tier 2
Mirror Shot,Steel,Special,EOT,"6, Ranged Blast 2",5,7,"On a roll of 17+, all Targets lose -1 Accuracy.",--,Tier 1
Overclock,Steel,Status,Scene x2,"Self, Versatile",,,"The user becomes Suppressed. If they do, they gain +3 CS to two stats of their choice.","Until the end of the next Round, the user becomes Suppressed and Vulnerable. If they do, they gain +2 CS to a Stat of their choice.",Tier 2
Plasma Beam,Steel,Special,EOT,"8, 1 Target",4,9,"On a roll of 18+, the Target becomes Burned or Paralyzed. Smite",--,Tier 2
Scrap Shield,Steel,Status,Scene x2,"Self, Swift Action",,,"All Hazards within 1m of the user are destroyed, then the user gains a Scrap Coat. Whenever the user is hit by an Adjacent Enemy they may expend the Scrap Coat, then apply the effects of one of the destroyed Hazards to the Triggering Enemy. ",--,Tier 2
Shell Shelter,Steel,Status,Scene,"Melee, 1 Target, Free Action",,,"Shell Shelter must be used as a Free Action using the Intercept Maneuver on an Ally that was Adjacent to you. After the Triggering Attack Resolves, the Ally you intercepted for becomes Untargetable until you use another Action or either of you are no longer Adjacent to one another.",--,Tier 3
Shift Gear,Steel,Status,Scene,"Self, Movement Action",,,Choose two Stats and swap their CS Value. The user becomes Slowed.,--,Tier 3
Shrapnel Shot,Steel,Physical,EOT,"6, 1 Target",3,7,"On a roll of 15+, choose an Enemy within 2m of the Target. The chosen Enemy becomes Wounded.",--,Tier 1
Slice,Steel,Physical,At-Will,"Melee, 1 Target",3,4,"On a roll of 18+, all Targets become Wounded. This Attack may be used as a Full Action to treat the Range as if it were Close Blast 2.",--,Tier 1
Smart Strike,Steel,Physical,EOT,"Melee, 1 Target",,6,Sureshot.,--,Tier 1
Spin Out,Steel,Physical,Scene,"Line 8, Dash, Reckless",6,13,"After this Attack resolves, the user Slides to the further unoccupied space in the Range of this Attack. If Spin Out is used through the Dash Keyword, this has the Smite Keyword. After Damage Calculations, the user becomes Slowed.",--,Tier 3
Steel Beam,Steel,Special,Scene,"Close Blast 3, Full Action",6,13,"After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite",--,Tier 3
Steel Roller,Steel,Physical,Scene,"Melee, Pass, Dash",7,12,"Steel Roller may be declared at the start of the user's Turn, but must activate the Dash Keyword to do so. If you do, any spaces you move through and all spaces adjacent to them have Hazards and Cover Terrain destroyed. Smite. Spirit Surge.",--,Tier 3
Steel Wing,Steel,Physical,EOT,"Melee, Pass ",6,8,The user may use their Defense as if it were the Offensive Stat for this Attack.,--,Tier 2
Aqua Cutter,Water,Physical,EOT,"6, 1 Target",3,7,Aqua Cutter is a Critical Hit on a roll of 18+,--,Tier 1
Aqua Fist,Water,Physical,Scene x2,"Melee, 1 Target",3,8,"If the Weather is Rainy, the Target cannot apply Physical Evasion against this Attack.",--,Tier 2
Aqua Infusion,Water,Status,Scene x2,"6, 1 Target, Coat, Versatile",,,"The Target gains 2 activations of a Aqua Infusion Coat. The Target can activate Aqua Infusion once per Round to cure one of their Status Afflictions, gain two Ticks of Temporary Hit Points, or reset a Stat to its Default CS Value.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Aqua Jet,Water,Physical,At-Will,"Melee, 1 Target, Priority",2,4,--,--,Tier 1
Aqua Ring,Water,Status,Scene x2,"4, 1 Target or Self; Coat",,,The Target gains an Aqua Ring Coat. Combatants affected by an Aqua Ring Coat gain a Tick of Hit Points at the start of their Turn. Aqua Ring Coats may be expended as a Swift Action to cure themselves of a Physical Affliction. ,"Same as the normal Effects, but you cannot Target yourself and the Coat cannot be expended as a Swift Action.",Tier 2
Aqua Slap,Water,Physical,At-Will,Close Blast 2,5,4,"On a roll of 18+, the Target becomes Blinded until the end of their next Turn.",--,Tier 1
Aqua Step,Water,Physical,EOT,"Melee, 1 Target",3,8,"The user may use a Disengage Maneuver as a Free Action  after resolving the Attack. If they do so, the user's Speed is increased by +1 CS",--,Tier 2
Aqua Tail,Water,Physical,EOT,"Melee, Pass or Close Blast 2",6,9,"If the Weather is Rainy or this Attack has one Target, this has the Smite Keyword.",--,Tier 2
