Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Tactical Wisdom,Scene - Reaction,"Effect: The Triggering Attack instead hits. 
Bonus: The user has a bonus to Accuracy and Effect Ranges on their Psychic Type Attacks equal to their Tier Level.",The user misses a Special Attack,,,"Scene - Reaction
Trigger - The user misses a Special Attack
Effect: The Triggering Attack instead hits. 
Bonus: The user has a bonus to Accuracy and Effect Ranges on their Psychic Type Attacks equal to their Tier Level."
Tangling Hair,Scene - Reaction,"Effect: The user may use a Grapple Maneuver as a Free Action against the Triggering Enemy. The user automatically passes the first Grapple Check
Bonus: Enemy Melee Attacks against you have a 15+ Effect Range to cause their user to become Slowed. Their Effect Range modifiers do not change this Effect Range. ",The user it hit by an Adjacent Attack,,,"Scene - Reaction
Trigger - The user it hit by an Adjacent Attack
Effect: The user may use a Grapple Maneuver as a Free Action against the Triggering Enemy. The user automatically passes the first Grapple Check
Bonus: Enemy Melee Attacks against you have a 15+ Effect Range to cause their user to become Slowed. Their Effect Range modifiers do not change this Effect Range. "
Targeting System,Static,"Connection – Lock-On. 
Effect: Your 1-Target Ranged Attacks ignore Accuracy Penalties as a result of Terrain. When using Lock-On, you may treat its Range as if it were “3, 2 Targets” or “6, Ranged Blast 3” instead of “10, 1 Target”",,,,"Static
Connection – Lock-On. 
Effect: Your 1-Target Ranged Attacks ignore Accuracy Penalties as a result of Terrain. When using Lock-On, you may treat its Range as if it were “3, 2 Targets” or “6, Ranged Blast 3” instead of “10, 1 Target”"
Teamwork,At-Will - Free Action,"Effect: The Triggering Ally has a bonus to Accuracy for the Triggering Attack equal to your Tier Level.
Bonus: If you have any Modifiers to Save Checks, Adjacent Allies are also treated as having them while next to you unless they have the same modifier from the same source. ",An Ally is Targeting an Enemy you’re Adjacent to with an Attack or Maneuver,,,"At-Will - Free Action
Trigger - An Ally is Targeting an Enemy you’re Adjacent to with an Attack or Maneuver
Effect: The Triggering Ally has a bonus to Accuracy for the Triggering Attack equal to your Tier Level.
Bonus: If you have any Modifiers to Save Checks, Adjacent Allies are also treated as having them while next to you unless they have the same modifier from the same source. "
Teardrop Feathers,Scene - Swift Action,"Effect: The Target becomes Entranced or gains the Wounded Affliction of your choice.
Bonus: The user has a Bonus to Critical Hit Ranges equal to half their Speed CS Value (Rounded Up)",The user hits a Damaging Water Type or Melee Attack,,,"Scene - Swift Action
Trigger - The user hits a Damaging Water Type or Melee Attack
Effect: The Target becomes Entranced or gains the Wounded Affliction of your choice.
Bonus: The user has a Bonus to Critical Hit Ranges equal to half their Speed CS Value (Rounded Up)"
Technician,Scene x2 - Swift Action,"Effect: The Target is treated as Vulnerable against the Attack. 
Bonus: Attacks with a Damage Base of 6 or lower have their Damage Base increased by +3. This bonus always applies to Attacks with the Double Strike or Five Strike Keywords.",The user uses an At-Will Attack,,,"Scene x2 - Swift Action
Trigger - The user uses an At-Will Attack
Effect: The Target is treated as Vulnerable against the Attack. 
Bonus: Attacks with a Damage Base of 6 or lower have their Damage Base increased by +3. This bonus always applies to Attacks with the Double Strike or Five Strike Keywords."
Telepathy,Scene - Standard Action,"Effect: The Triggering Attack misses the Triggering Ally. If the Triggering Attack would Target multiple Allies, this only applies to one of the Targeted Allies.  
Bonus: Whenever an Ally uses a Damaging AOE Attack that would hit you, you may Disengage as a Free Action before the attack resolves *Grants Telepath",An Ally would be hit by a non-Melee Attack that doesn’t Target you,,Defensive,"Scene - Standard Action
Keywords - Defensive
Trigger - An Ally would be hit by a non-Melee Attack that doesn’t Target you
Effect: The Triggering Attack misses the Triggering Ally. If the Triggering Attack would Target multiple Allies, this only applies to one of the Targeted Allies.  
Bonus: Whenever an Ally uses a Damaging AOE Attack that would hit you, you may Disengage as a Free Action before the attack resolves *Grants Telepath"
Temporal Boost,At-Will - Free Action,"Effect: The user gains +1 CS in their highest stat (Choose on a Tie). If this Ability Triggers three times this Scene, they instead gain +2 CS in their highest stat and for each subsequent time it triggers.",A Round Ends,,,"At-Will - Free Action
Trigger - A Round Ends
Effect: The user gains +1 CS in their highest stat (Choose on a Tie). If this Ability Triggers three times this Scene, they instead gain +2 CS in their highest stat and for each subsequent time it triggers."
Thermal Exchange,Scene - Free Action,"Effect: If this Ability was triggered by an Fire Type Attack, the user Ignores any Damage or Effects of the Triggering Attack. Raise the user's Attack by +1 CS. The user's next Damaging Ice Type Attack that successfully hits a Target adds its Damage Dice Roll an extra time to the Damage. If that Attack is avoided via a Defensive Ability or an Attack with the Shield Keyword, this effect is still expended. 
Bonus: The user is Immune to Burns. ","The user is hit with a Fire Type Attack, ends their Turn in Sunny Weather, or falls below 50% Hit Points",,Defensive,"Scene - Free Action
Keywords - Defensive
Trigger - The user is hit with a Fire Type Attack, ends their Turn in Sunny Weather, or falls below 50% Hit Points
Effect: If this Ability was triggered by an Fire Type Attack, the user Ignores any Damage or Effects of the Triggering Attack. Raise the user's Attack by +1 CS. The user's next Damaging Ice Type Attack that successfully hits a Target adds its Damage Dice Roll an extra time to the Damage. If that Attack is avoided via a Defensive Ability or an Attack with the Shield Keyword, this effect is still expended. 
Bonus: The user is Immune to Burns. "
Thick Fat,Scene x2 - Reaction,"Effect: The user resists the Triggering Attack by an additional step, however the user becomes Vulnerable after damage calculations until the end of the next Round. 
Bonus: The user resists Fire and Ice Type Attacks by an additional Damage step. ",The user is hit by a Physical or Adjacent Damaging Attack and is not Vulnerable,,Defensive,"Scene x2 - Reaction
Keywords - Defensive
Trigger - The user is hit by a Physical or Adjacent Damaging Attack and is not Vulnerable
Effect: The user resists the Triggering Attack by an additional step, however the user becomes Vulnerable after damage calculations until the end of the next Round. 
Bonus: The user resists Fire and Ice Type Attacks by an additional Damage step. "
Thrust,At-Will - Swift Action,"Effect: The Target is Slid up to 3m.
Bonus: The user’s Melee Attacks gain the Smite Keyword. The Push Maneuver gains the Sureshot Keyword.","The user hits a Melee, 1 Target Attack",,,"At-Will - Swift Action
Trigger - The user hits a Melee, 1 Target Attack
Effect: The Target is Slid up to 3m.
Bonus: The user’s Melee Attacks gain the Smite Keyword. The Push Maneuver gains the Sureshot Keyword."
Tidal Smash,At-Will - Swift Action,"Effect: The Target loses -2 CS in Defense. If they already had negative Combat Stages in Defense, they also become Vulnerable against the next Attack to Target them. 
Bonus: The user may perform any Water Type Damaging Attack as if its range was Close Blast 2 or Melee, 1 Target.","The user hits a Melee, 1 Target Attack",,,"At-Will - Swift Action
Trigger - The user hits a Melee, 1 Target Attack
Effect: The Target loses -2 CS in Defense. If they already had negative Combat Stages in Defense, they also become Vulnerable against the next Attack to Target them. 
Bonus: The user may perform any Water Type Damaging Attack as if its range was Close Blast 2 or Melee, 1 Target."
Tidal Trap,Static,"Effect: The user’s Water Type Damaging Attacks gain a 15+ Effect Range to cause the Target to become Slowed. If an Enemy is Trapped as a result of you, your Water Attacks have Sureshot against them.",,,,"Static
Effect: The user’s Water Type Damaging Attacks gain a 15+ Effect Range to cause the Target to become Slowed. If an Enemy is Trapped as a result of you, your Water Attacks have Sureshot against them."
Tinted Lens,Static,Effect: The user's Damaging Attacks are Resisted 1 Step Less (Up to Neutral Effectiveness). This does not increase the effectiveness for Attacks that deal Damage due to the Smite Keyword. ,,,,"Static
Effect: The user's Damaging Attacks are Resisted 1 Step Less (Up to Neutral Effectiveness). This does not increase the effectiveness for Attacks that deal Damage due to the Smite Keyword. "
Tochukaso,Scene x2 - Swift Action,"Connection - Poison Powder. 
Effect: While the Enemy is Poisoned this way, they cannot restore Hit Points. 
Bonus: The user is immune to Poison and Bug Type Attacks. ",The user Poisons a Single Enemy,,Defensive,"Scene x2 - Swift Action
Keywords - Defensive
Trigger - The user Poisons a Single Enemy
Connection - Poison Powder. 
Effect: While the Enemy is Poisoned this way, they cannot restore Hit Points. 
Bonus: The user is immune to Poison and Bug Type Attacks. "
Torrent,Static,"Effect: The user may use non-Self or Field Water Type Attacks as if their Range was Line 6 or Close Blast 2. If the Weather is Rainy or the user is Underwater, their Water Type Damaging Attacks have their area of effect increased by +1 and they have a bonus to Damage Rolls equal to their Tier Value.",,,,"Static
Effect: The user may use non-Self or Field Water Type Attacks as if their Range was Line 6 or Close Blast 2. If the Weather is Rainy or the user is Underwater, their Water Type Damaging Attacks have their area of effect increased by +1 and they have a bonus to Damage Rolls equal to their Tier Value."
Tough Claws,"Scene - Swift Action
","Effect: When Calculating Damage for the Triggering Attack, ignore all Damage Reduction and positive Combat Stages for the Defense Stat. The Target also cannot resist it through means other than Type Effectiveness. 
Bonus: Enemies cannot apply Physical Evasion against your Physical Melee Attacks",The user hits a Physical Melee Attack,,,"Scene - Swift Action

Trigger - The user hits a Physical Melee Attack
Effect: When Calculating Damage for the Triggering Attack, ignore all Damage Reduction and positive Combat Stages for the Defense Stat. The Target also cannot resist it through means other than Type Effectiveness. 
Bonus: Enemies cannot apply Physical Evasion against your Physical Melee Attacks"
